web-scraper-order,web-scraper-start-url,banner-image-src,product_name,price,ratings,ship_from,banners,has_video,product_image-src,is_ad,sold,shipping_speed
"1730178464-21","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","https://down-th.img.susercontent.com/file/th-11134258-7r990-lza9higk3xrdd5","ฉุยฟง ชาอูหลงจินเซียน เบอร์ 12  ขนาด 100 กรัม (กระป๋อง)","150","4.9","จังหวัดเชียงราย","","","https://down-th.img.susercontent.com/file/39493804858d7f985eec7b360caba26f_tn.webp","","ขายแล้ว 1.6พัน ชิ้น","3-4 วัน"
"1730178464-22","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","https://down-th.img.susercontent.com/file/th-11134258-7r98r-lza9g4atif0he8","Nishio,Aichi Premium 50 g Okucha","179","4.9","จังหวัดกรุงเทพมหานคร","","badge-video","https://down-th.img.susercontent.com/file/th-11134207-7r98p-m01h4q1flhve6c_tn.webp","","ขายแล้ว 323 ชิ้น","1-2 วัน"
"1730178464-23","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","","Kagoshima : Ceremonial grade 1.0 : matcha 100%","610","5.0","จังหวัดนนทบุรี","","","https://down-th.img.susercontent.com/file/th-11134207-7r991-ly6at35i2vft18_tn.webp","","ขายแล้ว 23 ชิ้น","1-3 วัน"
"1730178464-24","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","","Sawarabi : Cafe grade","410","5.0","จังหวัดนนทบุรี","","","https://down-th.img.susercontent.com/file/th-11134207-7r98r-m048zwj1lpdm0a_tn.webp","","ขายแล้ว 21 ชิ้น","1-3 วัน"
"1730178464-25","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","https://down-th.img.susercontent.com/file/th-11134258-7rasg-m1i3r7g84yuh1b","คาวามิช้อนไม้ตักชา  Kawami Bamboo Matcha Spoon","110","4.8","จังหวัดปทุมธานี","ส่งไวพิเศษ","","https://down-th.img.susercontent.com/file/sg-11134201-22120-4jwzb1ac3kkv00_tn.webp","","ขายแล้ว 75 ชิ้น","วันนี้"
"1730178464-26","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","https://down-th.img.susercontent.com/file/th-11134258-7rasg-m1i3n5fnyxk966","ITOEN Green Tea with Matcha 🍵 | Oi Ocha Premium | ชาเขียวโออิโอฉะ กับ มัทฉะ ผลิตจากใบชาในประเทศญี่ปุ่น 100% | จากญี่ปุ่น","280","5.0","จังหวัดกรุงเทพมหานคร","ส่งไวพิเศษ","","https://down-th.img.susercontent.com/file/th-11134207-7rasd-m1wfka1gynvt63_tn.webp","","ขายแล้ว 71 ชิ้น","วันพรุ่งนี้"
"1730178464-27","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","https://down-th.img.susercontent.com/file/th-11134258-7r98r-lza9g4atif0he8","🌷 ชาดอกไม้ บรรจุถุงซิป ขนาดทดลอง🌷 ดอกไม้อบแห้งใช้ตกแต่งขนม อาหาร🌷 ดอกไม้แห้ง","10","4.9","จังหวัดเชียงใหม่","โค้ดสิ้นเดือน","","https://down-th.img.susercontent.com/file/3e33e149f3c79c476817df0ba8d24d94_tn.webp","","ขายแล้ว 83พัน ชิ้น","2-4 วัน"
"1730178464-28","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","","Okumidori - Single Origin","850","5.0","จังหวัดกรุงเทพมหานคร","","","https://down-th.img.susercontent.com/file/th-11134207-7r98t-lmzp2xpghdmx44_tn.webp","","ขายแล้ว 459 ชิ้น","1-3 วัน"
"1730178464-29","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","","Pipore Yerba Mate 250g ++ ปีโปเร้ ชาเยอร์บ้าจากอาเจนติน่า 250g","129","4.9","จังหวัดกรุงเทพมหานคร","","","https://down-th.img.susercontent.com/file/ea24a5a84884396ba82c5c55709764a3_tn.webp","","ขายแล้ว 4.4พัน ชิ้น","2-3 วัน"
"1730178464-30","https://shopee.co.th/search?gad_source=1&gclid=Cj0KCQjw7Py4BhCbARIsAMMx-_LZeK_AB7h3Wz9U8QyhgeSjq76-FbU3gagozHrV_WheHMMnunGXa64aAmqMEALw_wcB&is_from_login=true&keyword=matcha&page=16&sortBy=relevancy","https://down-th.img.susercontent.com/file/th-11134258-7rasg-m1i3r7g84yuh1b","✅พร้อมส่ง ของแท้ ถูกที่สุด (30ซอง) TEAZEN KOMBUCHA กล่องใหญ่ 30 ซอง คอมบุชา ชาหมักเกาหลีที่จองกุก ซอนอูทาน  bts enhyphen","239","5.0","จังหวัดปทุมธานี","ส่งไวพิเศษโค้ดลด ฿10","","https://down-th.img.susercontent.com/file/th-11134207-7r98o-lkooo4ixep969d_tn.webp","","ขายแล้ว 7.8พัน ชิ้น","วันพรุ่งนี้"
